	herb_id	herb_name	herb_type	target	Resource
0	HBIN044342	sophocarpine	Alkaloid	TGFB1	Mixed
1	HBIN044342	sophocarpine	Alkaloid	ITK	Mixed
2	HBIN044342	sophocarpine	Alkaloid	GSK3B	Mixed
3	HBIN044342	sophocarpine	Alkaloid	NFKB1	Mixed
4	HBIN044342	sophocarpine	Alkaloid	MIR21	Mixed
5	HBIN044342	sophocarpine	Alkaloid	PTEN	Mixed
6	HBIN044342	sophocarpine	Alkaloid	CTNNB1	Mixed
7	HBIN044342	sophocarpine	Alkaloid	MAPK14	Mixed
8	HBIN044342	sophocarpine	Alkaloid	AKT1	Mixed
9	HBIN040908	protocatechuic acid	Phenolic acid	PARK7	Mahuang
10	HBIN040908	protocatechuic acid	Phenolic acid	CASP8	Mahuang
11	HBIN040908	protocatechuic acid	Phenolic acid	MMP2	Mahuang
12	HBIN040908	protocatechuic acid	Phenolic acid	IL10	Mahuang
13	HBIN040908	protocatechuic acid	Phenolic acid	BCL2	Mahuang
14	HBIN040908	protocatechuic acid	Phenolic acid	CASP9	Mahuang
15	HBIN040908	protocatechuic acid	Phenolic acid	IL1B	Mahuang
16	HBIN040908	protocatechuic acid	Phenolic acid	NFKB1	Mahuang
17	HBIN040908	protocatechuic acid	Phenolic acid	RAS	Mahuang
18	HBIN040908	protocatechuic acid	Phenolic acid	AKT1	Mahuang
19	HBIN040908	protocatechuic acid	Phenolic acid	NFE2L2	Mahuang
20	HBIN040908	protocatechuic acid	Phenolic acid	MTOR	Mahuang
21	HBIN040908	protocatechuic acid	Phenolic acid	CASP3	Mahuang
22	HBIN040908	protocatechuic acid	Phenolic acid	BAX	Mahuang
23	HBIN040908	protocatechuic acid	Phenolic acid	RHOB	Mahuang
24	HBIN040908	protocatechuic acid	Phenolic acid	PARK7	Jinyinhua
25	HBIN040908	protocatechuic acid	Phenolic acid	CASP8	Jinyinhua
26	HBIN040908	protocatechuic acid	Phenolic acid	MMP2	Jinyinhua
27	HBIN040908	protocatechuic acid	Phenolic acid	IL10	Jinyinhua
28	HBIN040908	protocatechuic acid	Phenolic acid	BCL2	Jinyinhua
29	HBIN040908	protocatechuic acid	Phenolic acid	CASP9	Jinyinhua
30	HBIN040908	protocatechuic acid	Phenolic acid	IL1B	Jinyinhua
31	HBIN040908	protocatechuic acid	Phenolic acid	NFKB1	Jinyinhua
32	HBIN040908	protocatechuic acid	Phenolic acid	RAS	Jinyinhua
33	HBIN040908	protocatechuic acid	Phenolic acid	AKT1	Jinyinhua
34	HBIN040908	protocatechuic acid	Phenolic acid	NFE2L2	Jinyinhua
35	HBIN040908	protocatechuic acid	Phenolic acid	MTOR	Jinyinhua
36	HBIN040908	protocatechuic acid	Phenolic acid	CASP3	Jinyinhua
37	HBIN040908	protocatechuic acid	Phenolic acid	BAX	Jinyinhua
38	HBIN040908	protocatechuic acid	Phenolic acid	RHOB	Jinyinhua
39	HBIN040908	protocatechuic acid	Phenolic acid	PARK7	Lianqiao
40	HBIN040908	protocatechuic acid	Phenolic acid	CASP8	Lianqiao
41	HBIN040908	protocatechuic acid	Phenolic acid	MMP2	Lianqiao
42	HBIN040908	protocatechuic acid	Phenolic acid	IL10	Lianqiao
43	HBIN040908	protocatechuic acid	Phenolic acid	BCL2	Lianqiao
44	HBIN040908	protocatechuic acid	Phenolic acid	CASP9	Lianqiao
45	HBIN040908	protocatechuic acid	Phenolic acid	IL1B	Lianqiao
46	HBIN040908	protocatechuic acid	Phenolic acid	NFKB1	Lianqiao
47	HBIN040908	protocatechuic acid	Phenolic acid	RAS	Lianqiao
48	HBIN040908	protocatechuic acid	Phenolic acid	AKT1	Lianqiao
49	HBIN040908	protocatechuic acid	Phenolic acid	NFE2L2	Lianqiao
50	HBIN040908	protocatechuic acid	Phenolic acid	MTOR	Lianqiao
51	HBIN040908	protocatechuic acid	Phenolic acid	CASP3	Lianqiao
52	HBIN040908	protocatechuic acid	Phenolic acid	BAX	Lianqiao
53	HBIN040908	protocatechuic acid	Phenolic acid	RHOB	Lianqiao
54	HBIN042854	salidroside	Glycoside	FGF2	Huangqin
55	HBIN042854	salidroside	Glycoside	G6PC	Huangqin
56	HBIN042854	salidroside	Glycoside	KAT2B	Huangqin
57	HBIN042854	salidroside	Glycoside	PRKAA2	Huangqin
58	HBIN042854	salidroside	Glycoside	MYHC	Huangqin
59	HBIN042854	salidroside	Glycoside	CASP9	Huangqin
60	HBIN042854	salidroside	Glycoside	MAPT	Huangqin
61	HBIN042854	salidroside	Glycoside	PRKAB1	Huangqin
62	HBIN042854	salidroside	Glycoside	TNF	Huangqin
63	HBIN042854	salidroside	Glycoside	PIK3CB	Huangqin
64	HBIN042854	salidroside	Glycoside	MAPK1	Huangqin
65	HBIN042854	salidroside	Glycoside	BCL2	Huangqin
66	HBIN042854	salidroside	Glycoside	BCL2L1	Huangqin
67	HBIN042854	salidroside	Glycoside	NFKB1	Huangqin
68	HBIN042854	salidroside	Glycoside	HMOX1	Huangqin
69	HBIN042854	salidroside	Glycoside	MET	Huangqin
70	HBIN042854	salidroside	Glycoside	PARP1	Huangqin
71	HBIN042854	salidroside	Glycoside	MTOR	Huangqin
72	HBIN042854	salidroside	Glycoside	BAX	Huangqin
73	HBIN042854	salidroside	Glycoside	PIK3CA	Huangqin
74	HBIN042854	salidroside	Glycoside	MAPK3	Huangqin
75	HBIN042854	salidroside	Glycoside	CYCS	Huangqin
76	HBIN042854	salidroside	Glycoside	VEGFA	Huangqin
77	HBIN042854	salidroside	Glycoside	PIK3CG	Huangqin
78	HBIN042854	salidroside	Glycoside	SIRT1	Huangqin
79	HBIN042854	salidroside	Glycoside	PIK3CD	Huangqin
80	HBIN042854	salidroside	Glycoside	PRKAA1	Huangqin
81	HBIN042854	salidroside	Glycoside	PCK1	Huangqin
82	HBIN042854	salidroside	Glycoside	ADORA2A	Huangqin
83	HBIN042854	salidroside	Glycoside	PGAM5	Huangqin
84	HBIN042854	salidroside	Glycoside	GSK3B	Huangqin
85	HBIN042854	salidroside	Glycoside	RELA	Huangqin
86	HBIN042854	salidroside	Glycoside	DDIT3	Huangqin
87	HBIN042854	salidroside	Glycoside	HGF	Huangqin
88	HBIN042854	salidroside	Glycoside	HIF1A	Huangqin
89	HBIN042854	salidroside	Glycoside	AKT1	Huangqin
90	HBIN042854	salidroside	Glycoside	IL6	Huangqin
91	HBIN042854	salidroside	Glycoside	FGF2	Lianqiao
92	HBIN042854	salidroside	Glycoside	G6PC	Lianqiao
93	HBIN042854	salidroside	Glycoside	KAT2B	Lianqiao
94	HBIN042854	salidroside	Glycoside	PRKAA2	Lianqiao
95	HBIN042854	salidroside	Glycoside	MYHC	Lianqiao
96	HBIN042854	salidroside	Glycoside	CASP9	Lianqiao
97	HBIN042854	salidroside	Glycoside	MAPT	Lianqiao
98	HBIN042854	salidroside	Glycoside	PRKAB1	Lianqiao
99	HBIN042854	salidroside	Glycoside	TNF	Lianqiao
100	HBIN042854	salidroside	Glycoside	PIK3CB	Lianqiao
101	HBIN042854	salidroside	Glycoside	MAPK1	Lianqiao
102	HBIN042854	salidroside	Glycoside	BCL2	Lianqiao
103	HBIN042854	salidroside	Glycoside	BCL2L1	Lianqiao
104	HBIN042854	salidroside	Glycoside	NFKB1	Lianqiao
105	HBIN042854	salidroside	Glycoside	HMOX1	Lianqiao
106	HBIN042854	salidroside	Glycoside	MET	Lianqiao
107	HBIN042854	salidroside	Glycoside	PARP1	Lianqiao
108	HBIN042854	salidroside	Glycoside	MTOR	Lianqiao
109	HBIN042854	salidroside	Glycoside	BAX	Lianqiao
110	HBIN042854	salidroside	Glycoside	PIK3CA	Lianqiao
111	HBIN042854	salidroside	Glycoside	MAPK3	Lianqiao
112	HBIN042854	salidroside	Glycoside	CYCS	Lianqiao
113	HBIN042854	salidroside	Glycoside	VEGFA	Lianqiao
114	HBIN042854	salidroside	Glycoside	PIK3CG	Lianqiao
115	HBIN042854	salidroside	Glycoside	SIRT1	Lianqiao
116	HBIN042854	salidroside	Glycoside	PIK3CD	Lianqiao
117	HBIN042854	salidroside	Glycoside	PRKAA1	Lianqiao
118	HBIN042854	salidroside	Glycoside	PCK1	Lianqiao
119	HBIN042854	salidroside	Glycoside	ADORA2A	Lianqiao
120	HBIN042854	salidroside	Glycoside	PGAM5	Lianqiao
121	HBIN042854	salidroside	Glycoside	GSK3B	Lianqiao
122	HBIN042854	salidroside	Glycoside	RELA	Lianqiao
123	HBIN042854	salidroside	Glycoside	DDIT3	Lianqiao
124	HBIN042854	salidroside	Glycoside	HGF	Lianqiao
125	HBIN042854	salidroside	Glycoside	HIF1A	Lianqiao
126	HBIN042854	salidroside	Glycoside	AKT1	Lianqiao
127	HBIN042854	salidroside	Glycoside	IL6	Lianqiao
128	HBIN025796	esculetin	Coumarin	CASP8	Lianqiao
129	HBIN025796	esculetin	Coumarin	SNCA	Lianqiao
130	HBIN025796	esculetin	Coumarin	ROS1	Lianqiao
131	HBIN025796	esculetin	Coumarin	NQO1	Lianqiao
132	HBIN025796	esculetin	Coumarin	KEAP1	Lianqiao
133	HBIN025796	esculetin	Coumarin	CASP9	Lianqiao
134	HBIN025796	esculetin	Coumarin	NFKB1	Lianqiao
135	HBIN025796	esculetin	Coumarin	RELA	Lianqiao
136	HBIN025796	esculetin	Coumarin	SLC7A1	Lianqiao
137	HBIN025796	esculetin	Coumarin	NFE2L2	Lianqiao
138	HBIN025796	esculetin	Coumarin	DDIT3	Lianqiao
139	HBIN025796	esculetin	Coumarin	CASP3	Lianqiao
140	HBIN047738	vanillic acid	Phenolic acid	CEBPA	Mahuang
141	HBIN047738	vanillic acid	Phenolic acid	PPARG	Mahuang
142	HBIN047738	vanillic acid	Phenolic acid	CEBPA	Lianqiao
143	HBIN047738	vanillic acid	Phenolic acid	PPARG	Lianqiao
144	HBIN043442	scopoletin	Coumarin	PRKAA1	Mahuang
145	HBIN043442	scopoletin	Coumarin	PRKAA2	Mahuang
146	HBIN043442	scopoletin	Coumarin	SREBF1	Mahuang
147	HBIN043442	scopoletin	Coumarin	CYP2E1	Mahuang
148	HBIN043442	scopoletin	Coumarin	CAT	Mahuang
149	HBIN043442	scopoletin	Coumarin	PRKAA1	Qinghao
150	HBIN043442	scopoletin	Coumarin	PRKAA2	Qinghao
151	HBIN043442	scopoletin	Coumarin	SREBF1	Qinghao
152	HBIN043442	scopoletin	Coumarin	CYP2E1	Qinghao
153	HBIN043442	scopoletin	Coumarin	CAT	Qinghao
154	HBIN048102	vitexin	Flavonoid	SLC12A2	Mahuang
155	HBIN048102	vitexin	Flavonoid	TJP1	Mahuang
156	HBIN048102	vitexin	Flavonoid	SLC12A2	Zhimu
157	HBIN048102	vitexin	Flavonoid	TJP1	Zhimu
158	HBIN014630	acteoside	Phenylpropanoid	MAP3K14	Huangqin
159	HBIN014630	acteoside	Phenylpropanoid	NOS2	Huangqin
160	HBIN014630	acteoside	Phenylpropanoid	MAP3K14	Lianqiao
161	HBIN014630	acteoside	Phenylpropanoid	NOS2	Lianqiao
162	HBIN042199	rhein	Anthraquinone	IKBKB	Mahuang
163	HBIN042199	rhein	Anthraquinone	DNMT3A	Mahuang
164	HBIN042199	rhein	Anthraquinone	TNF	Mahuang
165	HBIN042199	rhein	Anthraquinone	CASP1	Mahuang
166	HBIN042199	rhein	Anthraquinone	BCL2	Mahuang
167	HBIN042199	rhein	Anthraquinone	KL	Mahuang
168	HBIN042199	rhein	Anthraquinone	IL6	Mahuang
169	HBIN042199	rhein	Anthraquinone	IL1B	Mahuang
170	HBIN042199	rhein	Anthraquinone	EGFR	Mahuang
171	HBIN042199	rhein	Anthraquinone	PARP1	Mahuang
172	HBIN042199	rhein	Anthraquinone	STAT3	Mahuang
173	HBIN042199	rhein	Anthraquinone	DNMT1	Mahuang
174	HBIN042199	rhein	Anthraquinone	CASP3	Mahuang
175	HBIN042199	rhein	Anthraquinone	BAX	Mahuang
176	HBIN042670	rutin	Flavonoid	TFAM	Mahuang
177	HBIN042670	rutin	Flavonoid	STAT4	Mahuang
178	HBIN042670	rutin	Flavonoid	TNF	Mahuang
179	HBIN042670	rutin	Flavonoid	PPARGC1A	Mahuang
180	HBIN042670	rutin	Flavonoid	MPO	Mahuang
181	HBIN042670	rutin	Flavonoid	CXCL1	Mahuang
182	HBIN042670	rutin	Flavonoid	UCP1	Mahuang
183	HBIN042670	rutin	Flavonoid	IFNG	Mahuang
184	HBIN042670	rutin	Flavonoid	SIRT1	Mahuang
185	HBIN042670	rutin	Flavonoid	S100A8	Mahuang
186	HBIN042670	rutin	Flavonoid	IL1B	Mahuang
187	HBIN042670	rutin	Flavonoid	TFAM	Jinyinhua
188	HBIN042670	rutin	Flavonoid	STAT4	Jinyinhua
189	HBIN042670	rutin	Flavonoid	TNF	Jinyinhua
190	HBIN042670	rutin	Flavonoid	PPARGC1A	Jinyinhua
191	HBIN042670	rutin	Flavonoid	MPO	Jinyinhua
192	HBIN042670	rutin	Flavonoid	CXCL1	Jinyinhua
193	HBIN042670	rutin	Flavonoid	UCP1	Jinyinhua
194	HBIN042670	rutin	Flavonoid	IFNG	Jinyinhua
195	HBIN042670	rutin	Flavonoid	SIRT1	Jinyinhua
196	HBIN042670	rutin	Flavonoid	S100A8	Jinyinhua
197	HBIN042670	rutin	Flavonoid	IL1B	Jinyinhua
198	HBIN042670	rutin	Flavonoid	TFAM	Qinghao
199	HBIN042670	rutin	Flavonoid	STAT4	Qinghao
200	HBIN042670	rutin	Flavonoid	TNF	Qinghao
201	HBIN042670	rutin	Flavonoid	PPARGC1A	Qinghao
202	HBIN042670	rutin	Flavonoid	MPO	Qinghao
203	HBIN042670	rutin	Flavonoid	CXCL1	Qinghao
204	HBIN042670	rutin	Flavonoid	UCP1	Qinghao
205	HBIN042670	rutin	Flavonoid	IFNG	Qinghao
206	HBIN042670	rutin	Flavonoid	SIRT1	Qinghao
207	HBIN042670	rutin	Flavonoid	S100A8	Qinghao
208	HBIN042670	rutin	Flavonoid	IL1B	Qinghao
209	HBIN042670	rutin	Flavonoid	TFAM	Huangqin
210	HBIN042670	rutin	Flavonoid	STAT4	Huangqin
211	HBIN042670	rutin	Flavonoid	TNF	Huangqin
212	HBIN042670	rutin	Flavonoid	PPARGC1A	Huangqin
213	HBIN042670	rutin	Flavonoid	MPO	Huangqin
214	HBIN042670	rutin	Flavonoid	CXCL1	Huangqin
215	HBIN042670	rutin	Flavonoid	UCP1	Huangqin
216	HBIN042670	rutin	Flavonoid	IFNG	Huangqin
217	HBIN042670	rutin	Flavonoid	SIRT1	Huangqin
218	HBIN042670	rutin	Flavonoid	S100A8	Huangqin
219	HBIN042670	rutin	Flavonoid	IL1B	Huangqin
220	HBIN042670	rutin	Flavonoid	TFAM	Lianqiao
221	HBIN042670	rutin	Flavonoid	STAT4	Lianqiao
222	HBIN042670	rutin	Flavonoid	TNF	Lianqiao
223	HBIN042670	rutin	Flavonoid	PPARGC1A	Lianqiao
224	HBIN042670	rutin	Flavonoid	MPO	Lianqiao
225	HBIN042670	rutin	Flavonoid	CXCL1	Lianqiao
226	HBIN042670	rutin	Flavonoid	UCP1	Lianqiao
227	HBIN042670	rutin	Flavonoid	IFNG	Lianqiao
228	HBIN042670	rutin	Flavonoid	SIRT1	Lianqiao
229	HBIN042670	rutin	Flavonoid	S100A8	Lianqiao
230	HBIN042670	rutin	Flavonoid	IL1B	Lianqiao
231	HBIN031102	isoquercitrin	Flavonoid	MRP2	Jinyinhua
232	HBIN031102	isoquercitrin	Flavonoid	CAR	Jinyinhua
233	HBIN043533	scutellarin	Flavonoid	MAPK3	Huangqin
234	HBIN043533	scutellarin	Flavonoid	TGFB1	Huangqin
235	HBIN043533	scutellarin	Flavonoid	TNF	Huangqin
236	HBIN043533	scutellarin	Flavonoid	MAPK1	Huangqin
237	HBIN043533	scutellarin	Flavonoid	RBPJ	Huangqin
238	HBIN043533	scutellarin	Flavonoid	HES1	Huangqin
239	HBIN043533	scutellarin	Flavonoid	FN1	Huangqin
240	HBIN043533	scutellarin	Flavonoid	AGT	Huangqin
241	HBIN043533	scutellarin	Flavonoid	AHSA1	Huangqin
242	HBIN043533	scutellarin	Flavonoid	CRK	Huangqin
243	HBIN043533	scutellarin	Flavonoid	CCL2	Huangqin
244	HBIN043533	scutellarin	Flavonoid	MAPK14	Huangqin
245	HBIN043533	scutellarin	Flavonoid	NOTCH1	Huangqin
246	HBIN042438	rosmarinic acid	Phenolic acid	PRKAA1	Mixed
247	HBIN042438	rosmarinic acid	Phenolic acid	FGFR1	Mixed
248	HBIN042438	rosmarinic acid	Phenolic acid	TNF	Mixed
249	HBIN042438	rosmarinic acid	Phenolic acid	MAPK1	Mixed
250	HBIN042438	rosmarinic acid	Phenolic acid	PRKAA2	Mixed
